Date,Time,Open,High,Low,Close,Volume,PivotPoint,Resistance1,Support1,Resistance2,Support2,Resistance3,Support3
2008.08.25,00:00,2.6268,2.63,2.6247,2.6264,1008,,,,,,,
2008.08.26,00:00,2.6474,2.6474,2.6334,2.6431,7761,2.6270333333333333,2.629366666666667,2.6240666666666668,2.6323333333333334,2.6217333333333332,2.634666666666667,2.6187666666666667
2008.08.27,00:00,2.6138,2.6163,2.5964,2.6012,4892,2.6412999999999998,2.6491999999999996,2.6351999999999993,2.6553,2.6272999999999995,2.6632,2.621199999999999
2008.08.28,00:00,2.601,2.6093,2.595,2.6074,12334,2.6046333333333336,2.612866666666667,2.5929666666666673,2.6245333333333334,2.5847333333333338,2.632766666666667,2.5730666666666675
2008.09.03,00:00,2.5921,2.5981,2.5914,2.598,545,2.6039,2.6127999999999996,2.5984999999999996,2.6182,2.5896,2.6270999999999995,2.5841999999999996
2008.09.04,00:00,2.5965,2.5998,2.5964,2.5988,80,2.5958333333333337,2.600266666666667,2.5935666666666672,2.6025333333333336,2.5891333333333337,2.606966666666667,2.5868666666666673
2008.09.08,00:00,2.6175,2.6224,2.6159,2.6172,235,2.598333333333333,2.6002666666666663,2.596866666666666,2.6017333333333332,2.594933333333333,2.6036666666666664,2.593466666666666
2008.09.19,00:00,2.6682,2.6759,2.6656,2.6748,361,2.6184999999999996,2.6210999999999993,2.6145999999999994,2.6249999999999996,2.6119999999999997,2.6275999999999993,2.6080999999999994
2008.09.22,00:00,2.6812,2.6998,2.6495,2.6947,13999,2.6721,2.6786,2.6683,2.6824,2.6618,2.6889,2.658
2008.09.23,00:00,2.6948,2.7305,2.6813,2.7252,16595,2.6813333333333333,2.7131666666666665,2.6628666666666665,2.7316333333333334,2.6310333333333333,2.7634666666666665,2.6125666666666665
2008.09.24,00:00,2.725,2.7286,2.6929,2.7034,13981,2.7123333333333335,2.743366666666667,2.694166666666667,2.761533333333334,2.663133333333333,2.7925666666666675,2.6449666666666665
2008.09.25,00:00,2.7028,2.7139,2.6763,2.6802,16565,2.7083,2.7237,2.6879999999999997,2.744,2.6725999999999996,2.7594000000000003,2.6522999999999994
2008.09.26,00:00,2.6798,2.695,2.6711,2.6879,14358,2.6901333333333333,2.7039666666666666,2.6663666666666663,2.7277333333333336,2.652533333333333,2.741566666666667,2.628766666666666
2008.09.29,00:00,2.665,2.7093,2.6535,2.6864,19562,2.6846666666666663,2.6982333333333326,2.674333333333333,2.708566666666666,2.6607666666666665,2.7221333333333324,2.650433333333333
2008.09.30,00:00,2.6866,2.6892,2.6487,2.6601,17182,2.6830666666666665,2.712633333333333,2.656833333333333,2.738866666666666,2.627266666666667,2.7684333333333324,2.6010333333333335
2008.10.01,00:00,2.6603,2.6647,2.6192,2.6329,18365,2.666,2.6833,2.6428,2.7065,2.6254999999999997,2.7238,2.6022999999999996
2008.10.02,00:00,2.6325,2.6878,2.6269,2.6677,18306,2.6389333333333336,2.658666666666667,2.6131666666666673,2.6844333333333332,2.593433333333334,2.7041666666666666,2.5676666666666677
2008.10.03,00:00,2.6678,2.6919,2.6493,2.6766,14560,2.6608,2.6947,2.6338,2.7217000000000002,2.5999,2.7556000000000003,2.5728999999999997
2008.10.06,00:00,2.7247,2.8056,2.72,2.776,4439,2.6726000000000005,2.695900000000001,2.653300000000001,2.7152000000000003,2.630000000000001,2.7385000000000006,2.6107000000000014
2008.10.07,00:00,2.7763,2.8059,2.7275,2.7969,12813,2.7672000000000003,2.8144000000000005,2.7288000000000006,2.8528000000000002,2.6816000000000004,2.9000000000000004,2.6432000000000007
2008.10.08,00:00,2.7976,2.9834,2.7886,2.8547,17269,2.776766666666667,2.826033333333334,2.7476333333333343,2.855166666666667,2.6983666666666672,2.904433333333334,2.6692333333333345
2008.10.09,00:00,2.8546,2.9062,2.7674,2.8259,17638,2.8755666666666664,2.9625333333333326,2.7677333333333327,3.0703666666666662,2.6807666666666665,3.1573333333333324,2.572933333333333
2008.10.10,00:00,2.8266,2.8871,2.8168,2.868,14410,2.833166666666667,2.8989333333333343,2.760133333333334,2.9719666666666673,2.694366666666667,3.0377333333333345,2.6213333333333337
2008.10.13,00:00,2.8523,2.893,2.7881,2.8331,14588,2.8573000000000004,2.8978000000000006,2.8275000000000006,2.9276000000000004,2.7870000000000004,2.9681000000000006,2.7572000000000005
2008.10.14,00:00,2.833,2.8333,2.7639,2.8078,18715,2.8380666666666663,2.8880333333333326,2.783133333333333,2.942966666666666,2.7331666666666665,2.9929333333333323,2.678233333333333
2008.10.15,00:00,2.808,2.9022,2.798,2.8773,24878,2.8016666666666663,2.8394333333333326,2.7700333333333327,2.871066666666666,2.7322666666666664,2.9088333333333325,2.7006333333333328
2008.10.16,00:00,2.8772,2.893,2.7881,2.8033,22518,2.859166666666667,2.9203333333333337,2.8161333333333336,2.963366666666667,2.754966666666667,3.0245333333333337,2.7119333333333335
