2014.09.02,02:00,1.98132,1.98138,1.97938,1.98077,1431
2014.09.02,03:00,1.98077,1.98217,1.98064,1.98179,1211
2014.09.02,04:00,1.98184,1.98571,1.98114,1.98542,3879
2014.09.02,05:00,1.98549,1.98589,1.98355,1.98549,1619
2014.09.02,06:00,1.98564,1.98629,1.98392,1.98583,2375
2014.09.02,07:00,1.98577,1.98709,1.98482,1.98598,2761
2014.09.02,08:00,1.98598,1.98652,1.98448,1.98596,1493
2014.09.02,09:00,1.98599,1.98878,1.98488,1.98545,2660
2014.09.02,10:00,1.98546,1.98546,1.98214,1.98427,3152
2014.09.02,11:00,1.98442,1.98536,1.98310,1.98400,3929
2014.09.02,12:00,1.98403,1.98473,1.98187,1.98415,3771
2014.09.02,13:00,1.98419,1.98505,1.98263,1.98407,2255
2014.09.02,14:00,1.98407,1.98523,1.98391,1.98407,2078
2014.09.02,15:00,1.98404,1.98489,1.98288,1.98376,3003
2014.09.02,16:00,1.98376,1.98386,1.97981,1.98034,2772
2014.09.02,17:00,1.98057,1.98930,1.98057,1.98714,7113
2014.09.02,18:00,1.98712,1.98800,1.98562,1.98580,4212
2014.09.02,19:00,1.98576,1.98626,1.98398,1.98398,1692
2014.09.02,20:00,1.98398,1.98469,1.98279,1.98302,1686
2014.09.02,21:00,1.98299,1.98342,1.98183,1.98233,2009
2014.09.02,22:00,1.98235,1.98283,1.98030,1.98043,2515
2014.09.02,23:00,1.98053,1.98126,1.97963,1.97963,2758
2014.09.03,00:00,1.97955,1.98001,1.97830,1.97906,2518
2014.09.03,01:00,1.97906,1.98095,1.97872,1.98012,2384
2014.09.03,02:00,1.97985,1.98367,1.97983,1.98347,1704
2014.09.03,03:00,1.98351,1.98359,1.98139,1.98177,2127
2014.09.03,04:00,1.98177,1.98493,1.98045,1.98316,2957
2014.09.03,05:00,1.98316,1.98336,1.98178,1.98286,1209
2014.09.03,06:00,1.98287,1.98516,1.98183,1.98405,1767
2014.09.03,07:00,1.98433,1.98447,1.98243,1.98268,1269
2014.09.03,08:00,1.98292,1.98353,1.97981,1.98058,2544
2014.09.03,09:00,1.98062,1.98207,1.97892,1.98085,3062
2014.09.03,10:00,1.98085,1.98290,1.97902,1.97914,3924
2014.09.03,11:00,1.97911,1.98163,1.97852,1.97996,8124
2014.09.03,12:00,1.98002,1.98208,1.97881,1.98051,3643
2014.09.03,13:00,1.98051,1.98152,1.97926,1.97959,3396
2014.09.03,14:00,1.97959,1.97987,1.97716,1.97791,3182
2014.09.03,15:00,1.97794,1.97953,1.97677,1.97890,3327
2014.09.03,16:00,1.97891,1.97943,1.97688,1.97719,2731
2014.09.03,17:00,1.97715,1.97836,1.97573,1.97649,3451
2014.09.03,18:00,1.97650,1.97842,1.97564,1.97833,2982
2014.09.03,19:00,1.97833,1.97850,1.97573,1.97673,1824
2014.09.03,20:00,1.97682,1.97851,1.97634,1.97738,1305
2014.09.03,21:00,1.97733,1.97754,1.97582,1.97597,1494
2014.09.03,22:00,1.97592,1.97783,1.97576,1.97576,2462
2014.09.03,23:00,1.97576,1.97663,1.97553,1.97613,1350
2014.09.04,00:00,1.97625,1.97772,1.97537,1.97657,1062
2014.09.04,01:00,1.97657,1.97852,1.97632,1.97712,1995
2014.09.04,02:00,1.97712,1.97822,1.97673,1.97766,1309
2014.09.04,03:00,1.97766,1.97908,1.97636,1.97802,1949
2014.09.04,04:00,1.97802,1.97887,1.97621,1.97763,2011
2014.09.04,05:00,1.97761,1.97880,1.97705,1.97748,1212
2014.09.04,06:00,1.97745,1.97808,1.97675,1.97742,1678
2014.09.04,07:00,1.97737,1.97792,1.97648,1.97719,1197
2014.09.04,08:00,1.97724,1.97881,1.97665,1.97700,1366
2014.09.04,09:00,1.97707,1.97843,1.97645,1.97819,2087
